what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1427410462040
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1427410462040
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1427410462040
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1427410462040
stopped,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1427410462040
stopped,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1427410462040
stopped,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427410462040
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201202111925,"org.eclipse.cdt.debug.ui.memory.transport",1427410462040
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1427411369020
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1427411369020
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1427411369020
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1427411369020
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1427411369020
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1427411369020
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1427411369020
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1427411369020
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1427411369020
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1427411369020
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1427411369020
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1427411369020
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1427411369020
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1427411369020
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1427411369020
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1427411369020
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1427411369020
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1427411369020
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1427411369020
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1427411369020
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1427411369020
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1427411369020
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1427411369020
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1427411369020
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1427411369020
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1427411369020
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1427411369020
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1427411369020
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1427411369035
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1427411369035
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1427411369035
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1427411369035
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1427411369035
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1427411369035
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1427411369035
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1427411369035
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1427411369035
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1427411369035
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1427411369035
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1427411369035
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1427411369035
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1427411369035
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1427411369035
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1427411369035
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1427411369035
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1427411369035
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1427411369035
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1427411369035
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1427411369035
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1427411369035
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1427411369035
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1427411369035
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1427411369035
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1427411369035
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1427411369035
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1427411369035
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1427411369035
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1427411369035
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1427411369035
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1427411369035
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1427411369035
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1427411369035
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1427411369035
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1427411369035
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1427411369035
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1427411369035
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1427411369035
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1427411369051
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1427411369051
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1427411369051
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1427411369051
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1427411369051
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1427411369051
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1427411369051
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1427411369051
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1427411369051
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1427411369051
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1427411369051
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1427411369051
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1427411369051
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1427411369051
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1427411369051
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1427411369051
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427411369051
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427411369051
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427411369051
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427411369051
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427411369051
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427411369051
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1427411369051
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1427411369051
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1427411369051
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1427411369051
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1427411369051
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1427411369051
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1427411369051
os,sysinfo,,,"win32",1427411369051
arch,sysinfo,,,"x86",1427411369051
ws,sysinfo,,,"win32",1427411369051
locale,sysinfo,,,"en_CA",1427411369051
processors,sysinfo,,,"8",1427411369051
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427411369051
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1427411369051
java.specification.name,sysinfo,,,"Java Platform API Specification",1427411369051
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427411369051
java.specification.version,sysinfo,,,"1.6",1427411369051
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427411369051
java.version,sysinfo,,,"1.6.0_23",1427411369051
java.vm.info,sysinfo,,,"mixed mode",1427411369051
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427411369051
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427411369051
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427411369051
java.vm.specification.version,sysinfo,,,"1.0",1427411369051
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427411369051
java.vm.version,sysinfo,,,"19.0-b09",1427411369051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427411369378
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1427411379207
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1427411379222
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427411379269
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1427411379316
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1427411379332
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1427411379332
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1427411379332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411379566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411415993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411416664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411430361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411437990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411439487
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1427411439503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427411439503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411439503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411439955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411443216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411443232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427411446055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427411447990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427411450829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411451406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411467459
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427411471015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411473012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411481686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411482248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411486038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411492138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411493246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411494104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411613913
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1427411616441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411616706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411627782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411634942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411635457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411640652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411732015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411741173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411742920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411743669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411753793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411757085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411778285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411791093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411801186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411801607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411827207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411838517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411906471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411907142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411930840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411932415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411936674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411936877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411942696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411944895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411984072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427411984728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412290657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412293465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412294854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412295135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412296273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412300969
error,log,,,"Error executing 'nios2-bsp-generate-files --bsp-dir . --settings settings.bsp', unexpected return code 1.\n\nError message:\n\nSEVERE: CPU module not set.\r\nSEVERE: CPU module not set.\r\nSEVERE: nios2-bsp-generate-files failed.\r\n",1427412303652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412305181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412307927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412309143
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1427412323137
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1427412323137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412323386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412379750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412384648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412385444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412389687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412406348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412410576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412411621
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1427412411621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1427412411621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412411636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412413321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427412416036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427412417876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412417876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412430918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412437876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412441620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412445941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412488981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412494519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412512771
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427412517295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412519027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412526874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412528215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412529198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412530150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427412533332
